university,career,inscription_date,gender,age,location,email,first_name,last_name
universidad tecnológica nacional,diseño de imagen y sonido,2020-12-30,male,14,villa hipodromo,jwillis@yahoo.com,david,yu
universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-20,female,48,los cardos,friedmankristen@hotmail.com,maria,hale
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-11,female,41,carrizales,jaimerivers@gmail.com,katelyn,white
universidad tecnológica nacional,agronomía,2020-09-15,male,106,ingeniero de madrid,kellymartinez@yahoo.com,mark,cook
universidad tecnológica nacional,ingeniería electrónica,2021-01-16,female,77,alto verde,iyoung@gmail.com,margaret,chavez
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-11-12,male,111,villa adelina,zaguilar@gmail.com,malik,ball
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-30,male,102,valle hondo,brownzachary@gmail.com,mike,kim
universidad tecnológica nacional,licenciatura en musicoterapia,2020-09-04,female,39,kilometro 125,mackamanda@yahoo.com,emma,jackson
universidad tecnológica nacional,ingeniería mecánica,2020-09-04,male,60,perez,tammy71@hotmail.com,jeffrey,sandoval
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-30,female,40,agrelo,kristen05@yahoo.com,betty,bishop
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-26,female,19,caminera samborombon,acarter@gmail.com,tammy,petersen
universidad tecnológica nacional,arquitectura,2020-09-30,male,22,el trebol,lauragriffith@yahoo.com,justin,lopez
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-02,female,68,arbol solo,kingchase@gmail.com,megan,booker
universidad tecnológica nacional,licenciatura en administración,2020-11-01,male,36,alizal,zblankenship@gmail.com,jose,ewing
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-26,female,15,cascada,grichards@gmail.com,tiffany,bates
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-06,male,60,boliche lata,rogersdouglas@hotmail.com,russell,gomez
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-21,female,114,acostilla,tdodson@hotmail.com,desiree,edwards
universidad tecnológica nacional,técnico para bioterios,2021-01-15,male,71,amalia,amy82@hotmail.com,thomas,thompson
universidad tecnológica nacional,licenciatura en administración,2020-12-11,female,115,san antonio de obligado,mia12@hotmail.com,samantha,briggs
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-19,female,20,benitez,chavezmichael@hotmail.com,stacey,lee
universidad tecnológica nacional,contador público,2020-10-08,female,91,cañada de gomez,brian98@gmail.com,katie,cain
universidad tecnológica nacional,diseño industrial,2021-01-27,male,19,4 de noviembre,ksmith@hotmail.com,tony,hall
universidad tecnológica nacional,ingeniería en informática,2020-09-14,male,107,abra guazu,kurtroberson@gmail.com,troy,martin
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-11-09,male,88,cazon,qlucas@hotmail.com,christopher,everett
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-10,male,37,apoyaco,stevenjames@yahoo.com,jason,rice
universidad tecnológica nacional,farmacia,2021-01-29,male,51,angostura,cynthiacarlson@hotmail.com,john,williams
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-12-24,female,64,alvarez,ygomez@hotmail.com,kristen,brown
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-26,female,116,arroyo corralito,andrewthompson@hotmail.com,mrs.,crystal
universidad tecnológica nacional,ingeniería electrónica,2020-12-16,female,9,16 de julio,ericalewis@gmail.com,leslie,harris
universidad tecnológica nacional,medicina,2020-11-02,female,56,arana,robertphelps@hotmail.com,amy,warner
universidad tecnológica nacional,licenciatura en psicología,2020-12-09,female,30,agua linda,ebraun@hotmail.com,jennifer,schroeder
universidad tecnológica nacional,actuario,2020-12-25,female,79,kilometro 47,austinhannah@gmail.com,sydney,jackson
universidad tecnológica nacional,licenciatura en administración,2021-01-29,male,74,ireneo portela,cooperchelsea@gmail.com,jason,austin
universidad tecnológica nacional,licenciatura en administración,2020-09-14,male,104,cara mala,david71@yahoo.com,jacob,white
universidad tecnológica nacional,ciencias veterinarias,2020-12-07,male,67,villa lerga,heidihuang@gmail.com,dylan,brown
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-13,male,89,san marcelo,megangray@yahoo.com,andrew,mcdonald
universidad tecnológica nacional,licenciatura en psicología,2020-10-12,female,92,las hermanas,hayesmary@gmail.com,karen,wagner
universidad tecnológica nacional,ingeniería mecánica,2021-01-11,male,108,dos hermanos,dawn99@hotmail.com,christopher,rivera
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021-01-20,female,79,grutly,joanfrost@gmail.com,holly,obrien
universidad tecnológica nacional,licenciatura en psicología,2020-09-28,female,4,12 de octubre,chelseachavez@gmail.com,amy,hanson
universidad tecnológica nacional,ingeniería mecánica,2020-09-06,female,22,abra del tafi,regina45@yahoo.com,heather,pearson
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,male,51,el carbalino,daniel30@yahoo.com,chase,rodriguez
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-22,female,83,candelaria sud,donnawalker@gmail.com,debra,taylor
universidad tecnológica nacional,ciencias veterinarias,2020-11-25,female,14,ampacama,zking@yahoo.com,tina,garcia
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-17,female,98,dho,christine59@gmail.com,lisa,nolan
universidad tecnológica nacional,licenciatura en artes,2021-01-13,male,75,lehmann,krystal98@gmail.com,jack,roberts
universidad tecnológica nacional,ingeniería mecánica,2020-10-09,male,81,gobernador lanusse,amandascott@yahoo.com,brandon,rhodes
universidad tecnológica nacional,licenciatura en artes,2020-09-21,female,75,campo el bermejo,lopeznicole@yahoo.com,april,swanson
universidad tecnológica nacional,agronomía,2020-10-19,male,33,estacion saguier,jleon@gmail.com,edward,randolph
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-28,male,78,drabble,stonemelissa@yahoo.com,jacob,cruz
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-04,female,63,cañada la rica,thomashill@hotmail.com,pamela,cherry
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-09-19,male,58,gobernador crespo,bgrimes@hotmail.com,mark,smith
universidad tecnológica nacional,arquitectura,2020-12-02,female,81,barcena,naustin@yahoo.com,denise,stephens
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-04,female,35,moron,gcunningham@hotmail.com,brittany,boyd
universidad tecnológica nacional,ingeniería mecánica,2021-01-28,female,62,fortin chaco,amymiller@hotmail.com,christina,moses
universidad tecnológica nacional,arquitectura,2020-12-10,male,105,campana,david32@yahoo.com,thomas,cook
universidad tecnológica nacional,licenciatura en ciencias biológicas,2020-10-21,female,79,chimpay,dawsonleroy@gmail.com,debra,perez
universidad tecnológica nacional,licenciatura en psicología,2020-09-29,female,15,alto del saladillo,cathy97@hotmail.com,amy,houston
universidad tecnológica nacional,licenciatura en ciencia política,2021-01-23,male,39,banfield,melissaodonnell@yahoo.com,john,reeves
universidad tecnológica nacional,bioquímica,2020-11-04,female,27,bravo del dos,jodihill@hotmail.com,stacy,smith
universidad tecnológica nacional,arquitectura,2020-11-12,male,7,colonia berlin,robert57@gmail.com,william,jacobson
universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020-09-16,female,76,algarrobal puisoye,billy46@yahoo.com,julie,christensen
universidad tecnológica nacional,licenciatura en sociología,2020-09-08,female,85,alamo,michael95@yahoo.com,amy,shah
universidad tecnológica nacional,ingeniería mecánica,2020-09-13,male,84,el perdido est jose guisasola,fwilson@yahoo.com,thomas,sheppard
universidad tecnológica nacional,bioquímica,2020-12-05,female,25,20 de septiembre,joshua37@gmail.com,lisa,hartman
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-05,female,54,la ines,samuel35@yahoo.com,terry,zimmerman
universidad tecnológica nacional,bioquímica,2020-10-10,female,35,argerich,cunninghammelissa@hotmail.com,julie,kim
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-19,male,56,balneario chapalco,josephthompson@gmail.com,mark,cervantes
universidad tecnológica nacional,actuario,2020-11-10,female,20,colonia clara,randy39@hotmail.com,mckenzie,lynch
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-02,female,18,isla gran malvina,christopherscott@yahoo.com,christina,green
universidad tecnológica nacional,contador público,2020-09-21,male,54,balcarce,dukedominic@gmail.com,daniel,hubbard
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021-01-09,female,97,cataratas del iguazu,greenmark@gmail.com,samantha,maxwell
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-11-12,male,114,cululu,kbeasley@gmail.com,steven,charles
universidad tecnológica nacional,farmacia,2020-10-04,female,92,barcala,yrosales@yahoo.com,lisa,dyer
universidad tecnológica nacional,licenciatura en ciencias de la computación,2021-01-02,female,83,gonzalez moreno,goodmanangela@gmail.com,jessica,hampton
universidad tecnológica nacional,diseño industrial,2020-09-25,female,99,barrio 1 de mayo,davidmckinney@yahoo.com,katie,weber
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-09-18,female,1,bouquet,carpenteralex@gmail.com,kathy,wright
universidad tecnológica nacional,licenciatura en ciencias ambientales,2020-11-21,male,75,la rosa,perryteresa@yahoo.com,scott,wells
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-09-26,female,106,berraondo,heather91@gmail.com,katie,scott
universidad tecnológica nacional,medicina,2020-11-27,female,47,cangrejillos,bmiller@gmail.com,olivia,hodges
universidad tecnológica nacional,licenciatura en ciencia política,2020-12-11,female,57,gente grande,bwilkins@gmail.com,glenda,barnes
universidad tecnológica nacional,licenciatura en administración,2020-10-11,male,41,aguas buenas,pinedaamanda@gmail.com,michael,wallace
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-12-14,male,4,el duraznillo,katelynmartin@hotmail.com,lance,williams
universidad tecnológica nacional,actuario,2020-11-01,female,85,lierra adjemiro,stonemichael@gmail.com,kimberly,stewart
universidad tecnológica nacional,licenciatura en psicología,2021-01-21,female,38,el porvenir,dwalker@hotmail.com,michelle,lewis
universidad tecnológica nacional,actuario,2020-10-02,male,26,san isidro,edward10@gmail.com,michael,frye
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-11-12,male,103,el olivo,jjackson@hotmail.com,david,pollard
universidad tecnológica nacional,técnico para bioterios,2021-01-27,female,111,chovet,jonesandrea@yahoo.com,monica,jennings
universidad tecnológica nacional,licenciatura en psicología,2021-01-02,female,93,arroyo manganga,frank11@yahoo.com,jennifer,barton
universidad tecnológica nacional,diseño industrial,2020-09-14,female,34,bajo guazu,carlsonbrett@gmail.com,theresa,stuart
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-04,male,89,san antonio de obligado,sarah31@gmail.com,phillip,woods
universidad tecnológica nacional,bioquímica,2021-01-23,female,97,rio mayo,tami35@gmail.com,kaylee,gonzalez
universidad tecnológica nacional,arquitectura,2021-01-23,female,74,colonia lote 12,sabrinahenry@yahoo.com,lacey,johnson
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020-10-15,female,111,alfredo demarchi,pennyramirez@yahoo.com,angela,russell
universidad tecnológica nacional,licenciatura en ciencias geológicas,2021-01-16,male,65,barrio emir ramon juarez,kristenpatterson@gmail.com,matthew,sullivan
universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021-01-21,female,104,rincon de milberg,loweolivia@gmail.com,samantha,jimenez
universidad tecnológica nacional,bioquímica,2020-11-27,male,110,dho,maryalexander@gmail.com,jorge,jackson
universidad tecnológica nacional,licenciatura en artes,2020-10-19,female,97,est jauregui va flandria,roger32@gmail.com,dawn,hodge
universidad tecnológica nacional,licenciatura en sociología,2021-01-18,male,82,colonia duportal,david12@hotmail.com,nicholas,carter
universidad tecnológica nacional,ingeniería en informática,2021-01-31,male,50,alto grande,tammybaker@hotmail.com,robert,watson
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-09-03,female,69,colonia hernandarias,donald06@yahoo.com,diana,hamilton
universidad tecnológica nacional,licenciatura en ciencias de la computación,2020-11-13,male,6,centro comunitario cnia nue,peterbutler@yahoo.com,michael,gay
universidad tecnológica nacional,ciencias veterinarias,2020-09-17,female,68,el gualicho,pwallace@yahoo.com,debra,ford
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-05,male,9,deferrari,jsullivan@hotmail.com,michael,gomez
universidad tecnológica nacional,licenciatura en ciencias de la educación,2020-11-10,male,44,balde de leyes,robert62@gmail.com,paul,noble
universidad tecnológica nacional,licenciatura en ciencias biológicas,2021-01-26,female,85,la union,kcastro@yahoo.com,miss,lauren
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-09-11,male,91,las quintas,jamesparker@gmail.com,curtis,waters
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-09-25,male,74,hito 45,christopher73@hotmail.com,charles,long
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-09-10,female,33,boca p 25,thomas90@gmail.com,tammy,ewing
universidad tecnológica nacional,agronomía,2020-12-04,female,62,chapuy,ethomas@hotmail.com,rebecca,soto
universidad tecnológica nacional,licenciatura en administración,2021-01-26,female,85,arroyito,anitawilson@gmail.com,amy,ross
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020-09-06,male,87,el campamento,sandersdouglas@gmail.com,micheal,richardson
universidad tecnológica nacional,licenciatura en musicoterapia,2020-12-31,male,44,el carretero,alyssapratt@hotmail.com,richard,johnston
universidad tecnológica nacional,ingeniería electrónica,2021-01-13,male,26,berraondo,andreacrawford@hotmail.com,john,moore
universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021-02-01,female,55,gonzalez moreno,stephenclark@hotmail.com,marilyn,winters
universidad tecnológica nacional,farmacia,2020-10-23,male,97,longchamps,roblesvictoria@hotmail.com,scott,may
universidad tecnológica nacional,bioquímica,2020-12-16,female,87,pellegrini,ysmith@hotmail.com,jennifer,wilson
universidad tecnológica nacional,ingeniería electrónica,2020-11-27,female,59,jose clemente paz,parkergabriela@yahoo.com,susan,gentry
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-18,male,5,aguada grande,sharon01@hotmail.com,adam,hughes
universidad tecnológica nacional,licenciatura en musicoterapia,2020-11-04,male,36,caseros,zandrews@hotmail.com,david,house
universidad tecnológica nacional,licenciatura en sociología,2020-09-15,female,59,bombal,ochavez@yahoo.com,allison,roach
universidad tecnológica nacional,bioquímica,2020-09-19,male,19,kilometro 23,robert49@gmail.com,jeffrey,phillips
universidad tecnológica nacional,contador público,2020-10-31,male,109,aparzo,andersonsarah@yahoo.com,kurt,hill
universidad tecnológica nacional,diseño industrial,2020-09-20,female,108,calderon,stevensrobert@hotmail.com,debra,carter
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-11-14,female,30,algarrobo,xlopez@yahoo.com,rebecca,compton
universidad tecnológica nacional,arquitectura,2020-12-18,male,113,gobernador benegas,fisherdenise@gmail.com,hector,king
universidad tecnológica nacional,diseño de imagen y sonido,2020-10-26,male,33,arminda,ucollier@hotmail.com,joseph,kaiser
universidad tecnológica nacional,licenciatura en terapia ocupacional,2020-11-15,male,28,alberto gerchunoff,brian10@gmail.com,garrett,wells
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-11-10,female,37,campana,steven10@yahoo.com,janice,mcneil
universidad tecnológica nacional,licenciatura en ciencias geológicas,2020-10-25,female,2,alferez san martin,diazkimberly@hotmail.com,jodi,york
universidad tecnológica nacional,contador público,2021-01-16,female,26,colhue huapi,josechristian@yahoo.com,jennifer,marquez
universidad tecnológica nacional,actuario,2020-10-05,female,11,barcala,qjones@gmail.com,cynthia,fletcher
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-09-28,male,103,28 de noviembre,milesmatthew@hotmail.com,corey,mora
universidad tecnológica nacional,licenciatura en terapia ocupacional,2021-01-20,male,13,el tropezon,melissa90@hotmail.com,edward,west
universidad tecnológica nacional,técnico para bioterios,2020-12-17,female,26,pontaut,ykerr@gmail.com,mary,cox
universidad tecnológica nacional,licenciatura en sociología,2020-10-27,male,16,baños pismanta,rodriguezpatricia@hotmail.com,bill,wolfe
universidad tecnológica nacional,contador público,2020-11-03,male,104,san justo,christinerobbins@yahoo.com,anthony,nolan
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-09-05,male,19,25 de mayo,jessicanorman@hotmail.com,steven,walker
universidad tecnológica nacional,licenciatura en psicología,2020-11-29,female,39,agua de la piedra,marvinbrowning@hotmail.com,rachel,curtis
universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020-11-23,male,10,san genaro norte,steven61@gmail.com,xavier,roberts
universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020-12-04,female,95,arroyo pescado,vdeleon@gmail.com,kathryn,diaz
universidad tecnológica nacional,licenciatura en musicoterapia,2020-10-26,female,104,azara,nmorgan@gmail.com,jennifer,duke
universidad tecnológica nacional,licenciatura en ciencia política,2020-09-22,male,19,baldes de pacheco,karen86@gmail.com,william,reed
universidad tecnológica nacional,arquitectura,2020-11-18,male,101,cañadita,hwhite@gmail.com,warren,sims
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-12-24,female,14,acostilla,rjones@yahoo.com,brooke,griffin
universidad tecnológica nacional,actuario,2020-12-16,male,88,11 de septiembre,angelamendoza@yahoo.com,thomas,thompson
universidad tecnológica nacional,ciencias veterinarias,2020-09-06,male,72,del valle,herreramisty@hotmail.com,christopher,wilkins
universidad tecnológica nacional,ingeniería en informática,2020-11-27,male,98,banda varela,kellyhunter@gmail.com,craig,fox
universidad tecnológica nacional,licenciatura en relaciones del trabajo,2020-10-10,male,76,jose leon suarez,jacksonjonathan@gmail.com,scott,williams
universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020-10-13,female,11,cerro aconcagua,parsonsandrea@hotmail.com,alice,arnold
universidad tecnológica nacional,ingeniería electrónica,2020-10-21,female,15,el zorro,jonesrachel@hotmail.com,elizabeth,strong
universidad tecnológica nacional,diseño de imagen y sonido,2020-11-04,female,15,la limpia,belinda53@gmail.com,cristina,rangel
universidad tecnológica nacional,farmacia,2021-01-04,female,66,anzoategui,ymarshall@hotmail.com,wendy,russell
universidad tecnológica nacional,licenciatura en administración,2020-10-02,female,69,armstrong,shawn67@hotmail.com,ashley,moore
