university,career,inscription_date,gender,age,location,email,postal_code,first_name,last_name
universidad nacional de jujuy,ingeniería electrónica,2020-10-07,femaleale,22,azteazu,jenniferstrickland@gmail.com,6365,melissa,swanson
universidad nacional de jujuy,licenciatura en musicoterapia,2021-01-24,male,67,cabi monda,gibsoncheryl@yahoo.com,3228,juan,hicks
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-09-24,femaleale,48,cerro de la gloria canal 15,benjamindean@hotmail.com,7101,kristina,bush
universidad nacional de jujuy,farmacia,2020-10-21,femaleale,113,colonia lia y allende,qwells@yahoo.com,8200,christina,wells
universidad nacional de jujuy,actuario,2020-12-23,male,35,emilio lamarca,natalie99@hotmail.com,8505,michael,chapman
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-10-20,male,97,aldea apeleg,michellesherman@yahoo.com,9033,brandon,martin
universidad nacional de jujuy,arquitectura,2020-11-09,male,12,cespedes,christopherball@yahoo.com,5517,richard,perez
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-09,male,41,campo crisol,marshallbrian@gmail.com,2754,james,padilla
universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-07,femaleale,6,agua de castilla,gsnyder@hotmail.com,4651,caroline,humphrey
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-07,femaleale,57,alejandra,daviseddie@yahoo.com,3051,jamie,taylor
universidad nacional de jujuy,técnico para bioterios,2020-10-12,male,24,cañada del ucle,dawncole@gmail.com,2635,christopher,obrien
universidad nacional de jujuy,bioquímica,2020-10-29,male,18,la chirlandia,kellysamuel@gmail.com,8203,anthony,ruiz
universidad nacional de jujuy,ingeniería electrónica,2020-11-10,femaleale,53,encina,gardnertimothy@gmail.com,6077,sharon,day
universidad nacional de jujuy,actuario,2020-09-23,femaleale,20,girodias,howardvictor@yahoo.com,6407,victoria,wolfe
universidad nacional de jujuy,licenciatura en ciencia política,2020-10-04,male,88,alcaraz 2do,bparsons@hotmail.com,3138,spencer,dominguez
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-03,femaleale,117,el bombero,cassiebrewer@yahoo.com,7507,tina,thomas
universidad nacional de jujuy,licenciatura en ciencia política,2020-10-15,femaleale,74,chañarcito,mooreandrea@hotmail.com,4707,debra,davis
universidad nacional de jujuy,medicina,2020-11-02,male,56,brea chimpana,arivera@hotmail.com,4230,an,anderson
universidad nacional de jujuy,licenciatura en musicoterapia,2020-09-14,femaleale,53,colonia centenario,jordanleslie@hotmail.com,3109,carolyn,clark
universidad nacional de jujuy,diseño de imagen y sonido,2021-01-19,male,26,colonia la blanquita,sherri64@hotmail.com,3254,jorge,miller
universidad nacional de jujuy,ingeniería mecánica,2020-11-27,femaleale,88,campo el mataco,luisconley@gmail.com,2342,an,a
universidad nacional de jujuy,arquitectura,2020-09-17,male,18,la union,xcollins@gmail.com,7160,jimmy,taylor
universidad nacional de jujuy,ingeniería en informática,2020-11-06,femaleale,88,cañada,hughesandrew@yahoo.com,5773,elizabeth,cox
universidad nacional de jujuy,arquitectura,2021-01-15,femaleale,47,aromos,patrickcrawford@hotmail.com,3036,stephanie,willia
universidad nacional de jujuy,farmacia,2020-11-26,male,23,barrio villa saladillo,kathleenmitchell@yahoo.com,7260,derek,robinson
universidad nacional de jujuy,licenciatura en ciencia política,2021-01-11,femaleale,66,cachiyuyal,erin97@yahoo.com,5367,melissa,moore
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-06,male,106,boulogne,valenzuelacarolyn@yahoo.com,1609,christopher,bennett
universidad nacional de jujuy,diseño industrial,2020-12-06,femaleale,56,alto pencoso,christophermason@gmail.com,5724,tonya,hancock
universidad nacional de jujuy,licenciatura en psicología,2020-09-07,male,81,meson de fierro,erosario@yahoo.com,3731,michael,pacheco
universidad nacional de jujuy,farmacia,2020-10-13,femaleale,78,algarrobo verde,williamsonrebecca@gmail.com,5443,lauren,long
universidad nacional de jujuy,agronomía,2020-09-29,femaleale,109,colonia 1 de mayo,mendozacorey@yahoo.com,3272,anita,ke
universidad nacional de jujuy,diseño industrial,2020-09-30,femaleale,109,la lucila del mar,rachelyang@gmail.com,7113,elizabeth,hickman
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-09-12,male,13,comandante leal,andrew91@hotmail.com,5272,benjamin,hernandez
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-10-28,male,8,kilmetro 165,anguyen@yahoo.com,3153,jesse,cohen
universidad nacional de jujuy,agronomía,2020-11-08,male,29,estacion general arenales,tstanley@hotmail.com,6005,mark,greer
universidad nacional de jujuy,técnico para bioterios,2020-10-09,femaleale,51,alto del molle,tthompson@gmail.com,5755,katie,hamilton
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-10-26,male,108,arroyo grande,amandadavis@hotmail.com,7174,jeffrey,le
universidad nacional de jujuy,medicina,2020-11-12,femaleale,73,bañadito viejo,taylor07@hotmail.com,5709,jessica,ruiz
universidad nacional de jujuy,ingeniería electrónica,2020-12-19,femaleale,76,guillermo e hudson,vross@gmail.com,1885,jennifer,crawford
universidad nacional de jujuy,actuario,2020-10-31,femaleale,3,aromos,mcintyrerichard@hotmail.com,3036,michele,roman
universidad nacional de jujuy,actuario,2020-11-07,femaleale,25,colonia florencia,thompsonpeter@gmail.com,3500,stephanie,dunn
universidad nacional de jujuy,licenciatura en musicoterapia,2021-01-05,femaleale,90,agote,zwalker@gmail.com,6608,tiffany,olson
universidad nacional de jujuy,ingeniería mecánica,2020-11-12,male,23,azara,erobinson@gmail.com,3351,christopher,miller
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-10-08,male,29,colonia hinojo,zjones@hotmail.com,7318,ronnie,davis
universidad nacional de jujuy,ciencias veterinarias,2020-12-25,femaleale,46,el espinillo,tamarahorton@hotmail.com,2946,connie,floyd
universidad nacional de jujuy,técnico para bioterios,2021-01-30,male,80,aristia,qnavarro@hotmail.com,3463,joseph,cabrera
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-26,femaleale,90,agua colorada,johnsondouglas@hotmail.com,5383,tammy,ortiz
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-26,male,32,alamos,marioking@gmail.com,6437,david,archer
universidad nacional de jujuy,ingeniería en informática,2020-11-01,femaleale,62,baigorrita,kennethjackson@yahoo.com,6013,alyssa,nelson
universidad nacional de jujuy,licenciatura en administración,2021-01-08,male,53,abalo,christopherwilson@yahoo.com,3466,leonard,peterson
universidad nacional de jujuy,ingeniería electrónica,2020-09-26,male,26,arroyo guilaia,robert72@hotmail.com,9207,brian,moore
universidad nacional de jujuy,ingeniería mecánica,2020-11-09,femaleale,37,colonia lote 12,andrewrodriguez@hotmail.com,3543,cassan,turner
universidad nacional de jujuy,agronomía,2020-10-06,male,74,funke,erinmcclain@hotmail.com,7220,matthew,jensen
universidad nacional de jujuy,técnico para bioterios,2020-11-14,femaleale,100,agustin mosconi,robinbranch@hotmail.com,6667,danielle,wilson
universidad nacional de jujuy,ciencias veterinarias,2020-12-15,male,54,colonia campo piaggio,bryantpatrick@yahoo.com,2252,brian,reese
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-12,femaleale,10,el pingo,kcox@gmail.com,3132,rachel,torres
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-12-08,male,57,corbett,linda85@yahoo.com,6507,wesley,acosta
universidad nacional de jujuy,ciencias veterinarias,2020-10-23,femaleale,3,de bruyn,angela12@hotmail.com,6031,kaitlyn,case
universidad nacional de jujuy,diseño de imagen y sonido,2021-01-10,male,75,alabama,tmcbride@gmail.com,4117,austin,smith
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-11-17,male,3,cañadon lagarto,zdoyle@yahoo.com,9009,dean,brown
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-12-25,femaleale,70,longchamps,brookskrystal@hotmail.com,1854,heather,small
universidad nacional de jujuy,diseño industrial,2020-12-20,femaleale,59,el rincon,baileybrianna@yahoo.com,8146,julie,wilson
universidad nacional de jujuy,bioquímica,2020-10-15,femaleale,32,bella vista,linda76@gmail.com,5835,a,enne
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-28,femaleale,81,baños lunlunta,tanyacompton@hotmail.com,5507,kristin,johnson
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-10-20,femaleale,117,ataliva,smithjoshua@hotmail.com,2307,deborah,martin
universidad nacional de jujuy,licenciatura en psicología,2020-10-24,male,33,cuartel v,zford@yahoo.com,1744,scott,perkins
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-10-06,male,109,aldea maria luisa,carllindsey@hotmail.com,3114,matthew,watson
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-10-30,femaleale,34,carreras,smithsamantha@yahoo.com,2729,amanda,davis
universidad nacional de jujuy,licenciatura en ciencias geológicas,2021-01-11,male,49,la lucila,richardpatricia@yahoo.com,3072,richard,foster
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-28,femaleale,116,domselaar,emiller@yahoo.com,1984,melissa,king
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-30,male,81,campo cicare,catherinethomas@yahoo.com,8208,chad,murphy
universidad nacional de jujuy,arquitectura,2020-10-13,male,68,cachari,nicole37@hotmail.com,7214,christopher,fox
universidad nacional de jujuy,diseño de imagen y sonido,2020-09-20,male,89,agua de castilla,leah44@hotmail.com,4651,bob,rice
universidad nacional de jujuy,licenciatura en sociología,2020-09-24,male,108,buen retiro,lisacastillo@hotmail.com,3222,jeremy,arnold
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-12-14,male,31,colonia las yescas,zcompton@gmail.com,6513,cory,miller
universidad nacional de jujuy,actuario,2021-01-24,male,75,hurlingham,lindsey79@gmail.com,1686,manuel,booth
universidad nacional de jujuy,contador público,2021-01-23,male,27,colonia el aguara,fletcherjoseph@gmail.com,3534,curtis,stone
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-11-02,femaleale,65,cangallo,michaelrodriguez@gmail.com,7153,samantha,mcdowell
universidad nacional de jujuy,bioquímica,2020-09-05,male,104,ceres,reyesmarc@hotmail.com,2340,travis,lopez
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-10,femaleale,59,barrancas,matthewcruz@gmail.com,2246,angela,hernandez
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2021-01-18,femaleale,49,carandaiti,gonzalesbetty@gmail.com,3485,an,a
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-10-18,male,88,sarandi,lopezmonica@hotmail.com,1872,jeffrey,nolan
universidad nacional de jujuy,agronomía,2020-09-14,male,79,aserradero arroyo,crystal01@gmail.com,9420,donald,baker
universidad nacional de jujuy,diseño industrial,2020-12-03,femaleale,93,algarrobo,michaelwood@gmail.com,8136,melanie,richards
universidad nacional de jujuy,ingeniería mecánica,2020-12-28,male,55,comandante leal,macdonaldrichard@hotmail.com,5272,nicholas,dougherty
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-10-24,femaleale,39,campo el mataco,mmendoza@yahoo.com,2342,amy,johnson
universidad nacional de jujuy,licenciatura en psicología,2020-10-05,male,114,agua colorada,pross@gmail.com,5383,corey,nichols
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2021-01-27,femaleale,104,estacion uspallata,julian20@gmail.com,5551,alexan,davis
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-21,male,65,garcia del rio,chadfigueroa@yahoo.com,8162,thomas,johnson
universidad nacional de jujuy,contador público,2021-01-06,male,17,casimiro gomez,christine91@yahoo.com,6214,joe,cunningham
universidad nacional de jujuy,contador público,2020-12-13,male,26,est jauregui va flandria,ajohnson@yahoo.com,6706,mr.,john
universidad nacional de jujuy,licenciatura en musicoterapia,2020-11-03,male,30,arañita,jenniferpayne@gmail.com,3423,joshua,reed
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-18,femaleale,56,hospital necochea,kendrabarnett@gmail.com,7630,carolyn,brown
universidad nacional de jujuy,agronomía,2020-10-10,male,35,ireneo portela,chelsea18@gmail.com,2943,kevin,green
universidad nacional de jujuy,arquitectura,2021-01-19,male,66,arroyo castillo,sarahfrazier@yahoo.com,3460,jerry,ewing
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-11-12,femaleale,89,colonia mackinlay,jguerra@gmail.com,2347,tina,gordon
universidad nacional de jujuy,arquitectura,2021-01-15,male,112,adolfo rodriguez saa,qtaylor@hotmail.com,5777,james,jones
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2021-01-20,femaleale,74,destileria fiscal,thomas86@gmail.com,1925,rachel,calderon
universidad nacional de jujuy,farmacia,2020-09-08,femaleale,25,villa lerga,andrew77@gmail.com,5424,victoria,logan
universidad nacional de jujuy,agronomía,2020-10-24,male,45,la pastora,ryanbeasley@gmail.com,7001,oscar,benton
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-12-26,male,60,la limpia,hmartinez@hotmail.com,6645,joshua,jones
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-23,male,55,campo de los andes,diaztyler@hotmail.com,5565,travis,stafford
universidad nacional de jujuy,licenciatura en terapia ocupacional,2021-01-28,male,91,cachiyuyal,cheryl85@hotmail.com,5367,anthony,phillips
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-20,femaleale,17,el retiro,blanchardaustin@hotmail.com,3522,melody,chapman
universidad nacional de jujuy,técnico para bioterios,2020-10-22,femaleale,26,peyrano,patricia20@yahoo.com,2113,laura,sanchez
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-12-15,male,63,villa dominico,andrewbailey@gmail.com,1874,zachary,lyons
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-10-05,male,67,banda florida,walkerjacob@gmail.com,5351,richard,webb
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-09-09,male,48,agustin mosconi,bentleydaniel@yahoo.com,6667,todd,rose
universidad nacional de jujuy,licenciatura en musicoterapia,2020-12-04,femaleale,82,ariel,carlypena@yahoo.com,7301,dominique,smith
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-11-10,femaleale,83,bella vista,zachary35@gmail.com,5835,kayla,wilson
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-12-10,male,103,arano,cspencer@hotmail.com,6443,leonard,wallace
universidad nacional de jujuy,bioquímica,2020-09-09,male,36,arboleda,christopher46@yahoo.com,6557,john,white
universidad nacional de jujuy,diseño industrial,2020-09-18,femaleale,60,los frentones,kchristensen@gmail.com,3712,monica,lee
universidad nacional de jujuy,bioquímica,2020-09-18,male,11,carrizal norte,michaelmartinez@yahoo.com,3433,timothy,fleming
universidad nacional de jujuy,agronomía,2021-01-24,male,97,estacion la rinconada,schroedervanessa@yahoo.com,5433,eric,king
universidad nacional de jujuy,licenciatura en psicología,2020-09-16,male,100,los indios,dicksonsarah@hotmail.com,2709,paul,gray
universidad nacional de jujuy,farmacia,2020-10-06,male,51,carro quemado,michael68@hotmail.com,6319,jake,anderson
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-10-09,male,68,san geronimo,jasminecrawford@gmail.com,2136,derek,parks
universidad nacional de jujuy,licenciatura en administración,2020-11-19,femaleale,115,cañada la rica,wendy70@yahoo.com,6625,rebecca,garcia
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-10-10,femaleale,13,cari larquea,benjaminsmith@gmail.com,7119,candace,clark
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-10-11,male,13,cara mala,tsmith@yahoo.com,9313,daniel,moreno
universidad nacional de jujuy,arquitectura,2020-10-17,male,14,ingeniero allan,linda80@yahoo.com,1891,paul,harris
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2021-01-19,male,26,acassuso,nlynch@gmail.com,1640,tyler,wise
universidad nacional de jujuy,ingeniería mecánica,2020-11-03,male,20,campo paletta,tylergeorge@yahoo.com,2206,terry,rogers
universidad nacional de jujuy,licenciatura en sociología,2021-01-28,male,82,balneario claromeco,stephen94@yahoo.com,7505,vincent,bell
universidad nacional de jujuy,agronomía,2020-09-01,male,30,azteazu,joshuastevens@hotmail.com,6365,christopher,austin
universidad nacional de jujuy,bioquímica,2020-09-30,male,9,colonia sere,thomasjames@yahoo.com,6459,travis,gilbert
universidad nacional de jujuy,técnico para bioterios,2020-09-09,male,13,abel,vmoore@yahoo.com,6450,kenneth,moore
universidad nacional de jujuy,licenciatura en administración,2020-11-09,femaleale,31,baños de la laja,jcastillo@yahoo.com,5419,shannon,wright
universidad nacional de jujuy,agronomía,2020-10-30,femaleale,83,amana,ramirezsherry@yahoo.com,5386,shelly,francis
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-09-04,male,61,benito juarez,bruce59@yahoo.com,7020,nicholas,gordon
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-10-02,male,116,23 de agosto,williamshelton@gmail.com,4504,henry,cisneros
universidad nacional de jujuy,licenciatura en ciencias de la educación,2020-12-01,male,62,estancia santa catalina,emilylopez@gmail.com,2761,shawn,campbell
universidad nacional de jujuy,arquitectura,2020-10-13,femaleale,52,berduc,mmaldonado@hotmail.com,3285,victoria,daniels
universidad nacional de jujuy,licenciatura en sociología,2021-01-17,male,99,sarandi,morajoseph@yahoo.com,1872,david,harper
universidad nacional de jujuy,ingeniería en informática,2020-10-07,male,49,masurel,epetersen@hotmail.com,6438,kent,alvarado
universidad nacional de jujuy,arquitectura,2021-01-21,male,11,colonia rusa,hamiltonedward@gmail.com,8332,jordan,schultz
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-12-14,femaleale,63,abra verde,aobrien@gmail.com,5470,paula,gamble
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-09-20,femaleale,19,barrio la dolly,heather33@gmail.com,1980,dawn,jimenez
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-11-10,male,21,cañadon leon,brandonferguson@yahoo.com,9311,mr.,richard
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-15,male,88,agua y energia,sara62@yahoo.com,5405,brian,brown
universidad nacional de jujuy,contador público,2020-09-28,femaleale,2,colonia san francisco,kevin44@hotmail.com,2527,peggy,phillips
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-11-04,male,22,12 de octubre,moneal@hotmail.com,6501,patrick,cook
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-10-24,femaleale,107,san nicolas de los arroyos,yorkpamela@hotmail.com,2900,bethany,jones
universidad nacional de jujuy,agronomía,2020-11-03,femaleale,8,ranelagh,reynoldsdavid@yahoo.com,1886,lisa,bowman
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-09-01,femaleale,62,colonia beaufort,amandavalencia@hotmail.com,6331,wendy,lee
universidad nacional de jujuy,ingeniería electrónica,2020-11-18,male,26,estacion mazan,murphyerin@hotmail.com,5313,philip,jones
universidad nacional de jujuy,técnico para bioterios,2020-09-27,male,46,ramos mejia,rowedana@gmail.com,1704,angel,underwood
universidad nacional de jujuy,licenciatura en administración,2020-10-19,male,103,arroyo grande,woodsmitchell@gmail.com,7174,brian,porter
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-11-07,femaleale,72,estancia las gamas,mpeterson@gmail.com,3057,mary,wilson
universidad nacional de jujuy,medicina,2020-11-09,femaleale,64,cortines,james68@hotmail.com,6712,whitney,pham
universidad nacional de jujuy,medicina,2020-10-18,male,62,ingeniero thompson,davenportdenise@gmail.com,6337,logan,wise
universidad nacional de jujuy,licenciatura en musicoterapia,2020-12-22,male,32,villa eloisa,michellesmith@gmail.com,2503,david,johnson
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-12-22,femaleale,68,alto del saladillo,galvantyler@yahoo.com,4522,debbie,ross
universidad nacional de jujuy,ingeniería electrónica,2020-10-07,male,23,diego lopez,zcollins@yahoo.com,3180,kevin,may
universidad nacional de jujuy,ingeniería mecánica,2020-12-02,femaleale,83,cupiles,stephaniecarroll@gmail.com,5595,cheryl,wilson
universidad nacional de jujuy,ingeniería mecánica,2020-09-28,femaleale,58,kilometro 112,krystal57@hotmail.com,7240,laura,preston
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-11-07,male,68,carmen de areco,walterbrittany@hotmail.com,6725,kevin,lowe
universidad nacional de jujuy,licenciatura en planificación y diseño del paisaje,2020-09-29,femaleale,105,ceres,angelarobinson@gmail.com,2340,brittany,perez
universidad nacional de jujuy,licenciatura en artes,2020-11-12,male,43,capitan bermudez,othomas@yahoo.com,2154,michael,sparks
universidad nacional de jujuy,diseño de imagen y sonido,2020-10-28,femaleale,42,barrio la dolly,todd04@hotmail.com,1980,kimberly,richardson
universidad nacional de jujuy,licenciatura en ciencias de la educación,2021-01-17,male,55,campo de mayo,jeremywalker@gmail.com,1659,david,hubbard
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-09-29,male,103,arroyo hondo,edward05@yahoo.com,3216,micheal,morris
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2021-01-03,femaleale,22,arroyo grande,thomas38@yahoo.com,7174,lisa,johnson
universidad nacional de jujuy,agronomía,2020-10-31,femaleale,45,fortin irene,juan72@hotmail.com,7316,teresa,jackson
universidad nacional de jujuy,farmacia,2020-12-08,femaleale,90,juan e barra,kmartinez@hotmail.com,7517,teresa,lopez
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-11-27,male,56,acostilla,floresjesse@yahoo.com,4701,frank,sanchez
universidad nacional de jujuy,licenciatura en ciencias biológicas,2020-11-24,male,29,arroyo mal paso,smithveronica@gmail.com,4157,michael,hall
universidad nacional de jujuy,medicina,2020-09-25,male,27,las palmas,angela10@yahoo.com,2806,samuel,andersen
universidad nacional de jujuy,licenciatura en sociología,2020-10-08,femaleale,92,alberto gerchunoff,ryanhammond@hotmail.com,3170,amber,cole
universidad nacional de jujuy,agronomía,2020-10-15,male,71,estancia las isletas,colinsmith@yahoo.com,8148,stephen,brooks
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-10-25,male,95,9 de julio,tamara13@gmail.com,6500,adam,lewis
universidad nacional de jujuy,licenciatura en ciencia y tecnología de alimentos,2020-12-27,femaleale,9,acheral,gwendolyncordova@gmail.com,5260,kayla,mitchell
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020-11-09,femaleale,89,san nicolas de los arroyos,burkejonathan@hotmail.com,2900,teresa,flynn
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-12-13,male,73,gobernador benegas,nicole33@gmail.com,5544,james,taylor
universidad nacional de jujuy,licenciatura en psicología,2020-09-05,femaleale,89,arroyo ceibal,zchandler@hotmail.com,3575,cassidy,cunningham
universidad nacional de jujuy,licenciatura en relaciones del trabajo,2020-12-07,femaleale,102,el rincon,robert22@yahoo.com,8146,sophia,clark
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020-12-25,femaleale,25,ireneo portela,anna66@hotmail.com,2943,diana,castro
universidad nacional de jujuy,licenciatura en ciencia política,2020-11-09,femaleale,114,gonzalez catan,laneryan@hotmail.com,1759,kathryn,coleman
universidad nacional de jujuy,agronomía,2021-01-19,male,98,el tropezon,lmartinez@yahoo.com,3009,michael,robbins
universidad nacional de jujuy,licenciatura en ciencias geológicas,2020-11-24,femaleale,4,juan maria gutierrez,iwalker@gmail.com,1890,kathy,jennings
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2021-01-18,male,86,colonia los sauces,tpacheco@yahoo.com,3200,daryl,moyer
universidad nacional de jujuy,licenciatura en administración,2020-11-08,male,41,desvio kilometro 55,johnsonabigail@gmail.com,1981,troy,taylor
universidad nacional de jujuy,licenciatura en gestión de agroalimentos,2020-12-26,femaleale,27,bathurst estacion,crobertson@hotmail.com,7540,stephanie,burnett
universidad nacional de jujuy,licenciatura en kinesiología y fisiatría,2020-09-22,male,77,goyena,simonleslie@yahoo.com,8175,jeremy,shah
universidad nacional de jujuy,ingeniería en informática,2020-09-30,femaleale,96,maria magdalena,gary33@yahoo.com,3381,dana,oneill
universidad nacional de jujuy,diseño industrial,2020-10-27,male,90,el tala,ryanwyatt@yahoo.com,5304,randy,diaz
universidad nacional de jujuy,diseño industrial,2020-11-13,male,68,bahia tranquila,ronald55@yahoo.com,9405,nicholas,schmidt
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-10-27,male,75,campo pesoa,fbonilla@hotmail.com,2173,michael,rich
universidad nacional de jujuy,bioquímica,2021-01-20,femaleale,116,castilla,gregoryreed@gmail.com,6616,shannon,howard
universidad nacional de jujuy,licenciatura en terapia ocupacional,2020-11-24,male,102,alvarez jonte,moorejeffrey@hotmail.com,1921,larry,horton
universidad nacional de jujuy,diseño de imagen y sonido,2020-09-24,femaleale,65,cameron,goodwinmathew@yahoo.com,9017,sara,bradley
universidad nacional de jujuy,técnico para bioterios,2020-10-09,femaleale,32,colonia los lapachos,moodyjocelyn@yahoo.com,4606,theresa,richards
universidad nacional de jujuy,farmacia,2020-10-19,male,6,aguada alegre,yhammond@gmail.com,9310,james,zuniga
universidad nacional de jujuy,licenciatura en ciencias de la computación,2021-01-08,femaleale,87,kilometro 184,oconley@hotmail.com,3620,cheryl,adams
